cluster_id,int_year,int_n_heat_waves,int_days_in_heat_wave,f_year_hw_tmax_vl,f_year_hw_tmin_vl,dt_first_hw_start_date,dt_last_hw_end_date
agg_prov-17_cluster-5,2018,1,7,1.51117208629419,1.67689280157803,2018-07-31,2018-08-06
agg_prov-17_cluster-5,2019,1,5,0.65518276366106,0.69601790551277,2019-07-22,2019-07-26
agg_prov-17_cluster-5,2022,3,13,1.03964997078753,1.59766498505027,2022-07-15,2022-08-13
agg_prov-17_cluster-5,2023,1,6,2.5626679747392,2.33871903939608,2023-08-20,2023-08-25
agg_prov-17_cluster-5,2024,1,6,0.870994980988741,2.12138486491372,2024-08-05,2024-08-10
agg_prov-17_cluster-6,2012,1,4,3.45526380661325,2.2554491184866,2012-08-20,2012-08-23
agg_prov-17_cluster-6,2015,1,4,4.43915287325974,0.870456097432751,2015-07-04,2015-07-07
agg_prov-17_cluster-6,2017,1,4,1.38258018477521,1.43579639221198,2017-08-02,2017-08-05
agg_prov-17_cluster-6,2018,1,4,0.861244972514712,1.28214474987001,2018-08-02,2018-08-05
agg_prov-17_cluster-6,2022,2,8,1.8136447123517,1.14023393714391,2022-06-16,2022-07-19
agg_prov-17_cluster-6,2023,1,6,2.78758680819792,2.33747826853031,2023-08-20,2023-08-25
agg_prov-17_cluster-6,2024,1,3,1.11365878491373,1.91626579697947,2024-08-08,2024-08-10
agg_prov-17_cluster-7,2006,1,3,2.10093821707718,1.17998530676484,2006-07-23,2006-07-25
agg_prov-17_cluster-7,2012,1,4,2.7934506197622,1.35860355227358,2012-08-20,2012-08-23
agg_prov-17_cluster-7,2015,2,7,3.71369067867571,1.36177671859597,2015-07-05,2015-07-18
